Image number,Style label,Image Url,13264663777,13263750995,13263613156,13249068738,13244840492,13244520859,13241149237,13240718620,13240463751,13240304890,13240301382,13239966016,13239867945,13239806794,13239762236,13239741363,13239746222,13239743538,13238520630,13238479027,13238452713,13238271643,13238048893,13237855975,13237402846,13237380689,13237315738,13264685797,13263637869,13263558029,13246534584,13245211614,13243254947,13240050877,13238590958,13238520834,13238542142,13238184908,13238066179,13237686574,13237449180,13237381960,13237386087,13237373974,13237349458,13237319909,13264640408,13263584801,13249047153,13245222921,13242105575,13240917054,13239673038,13239152356,13238786009,13238873456,13238642415,13238600642,13238615119,13238620869,13238462788,13238219369,13237370495,13237575480,13237562564,13237317993,13263660860,13263513849,13249117061,13245953467,13239748413,13239710119,13239676771,13237754403,13237808350,13237797264,13237763648,13237765133,13237751174,13237465898,13237529736,13237464563,13237445953,13237375572,13237356060
88,"Loose-fit,Comfortable,Casual",https://images.afound.com/images/a4683d1c-433c-48b1-a56d-cb66d03099f1/af6768c603724abfbf8896e743bb5c05.jpg?preset=productcard,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,"Casual,Comfortable,Loose-fit",https://na-kd.com/globalassets/drdenim_alva_trucker_jacket_1575-000051-9041_01a.jpg?ref=4CF7C8CD40,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,True,True,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False
90,"Form-fitting,Contemporary,Bold","https://img1.g-star.com/product/c_fill,f_auto,h_1038,q_80/v1619120427/D20766-C565-C815-E01/g-star-raw-col-top-slim-all-over-print-meerkleurig.jpg",Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,True
91,"Loose-fit,Comfortable,Goth",https://na-kd.com/globalassets/isha_armhole_cut_detail_pversized_tee_1676-000021-0228_01g.jpg?ref=73110B9F1D,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
92,"Feminine,Playful,Casual",https://na-kd.com/globalassets/mango_animal_shirt_1587-000391-0017_01a.jpg?ref=2E3E6CD12F,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False
93,"Colorful,Casual,Form-fitting",https://na-kd.com/globalassets/nakd_assymetric_neckline_ribbed_knitted_sweater_1100-003133-0368_04g.jpg?ref=CF75DF464F,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False
94,"Casual,Minimalistic,Comfortable",https://na-kd.com/globalassets/nakd_babylock_button_detail_top_1100-004409-0617_01a.jpg?ref=BDF3CFB5A4,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True
95,"Feminine,Chic,Romantic",https://na-kd.com/globalassets/nakd_balloon_sleeve_blouse_1100-002158-4070_01g_r.jpg?ref=2EDADBBB6B,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,False,True,False,False,True,False,False,False,True,True,False,True,True,False,False,False,True,False
96,"Colorful,Casual,Classic",https://na-kd.com/globalassets/nakd_balloon_sleeve_cable_knitted_sweater_1018-003467-0003_01a.jpg?ref=D6A7667D0D,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
97,"Chic,Feminine,Classic",https://na-kd.com/globalassets/nakd_balloon_sleeve_cotton_cardigan_1674-000017-1934_01g.jpg?ref=F5DAE30BBC,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True
98,"Feminine,Chic,Colorful",https://na-kd.com/globalassets/nakd_balloon_sleeve_tied_waist_pu_jacket_1018-003466-0115_01a_r3.jpg?ref=7EB45AC89D,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False
99,"Casual,Comfortable,Minimalistic",https://na-kd.com/globalassets/nakd_balloon_sleeve_high_neck_short_sweater_white_1018-002015-0001_01a.jpg?ref=87409FF528,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True
100,"Colorful,Feminine,Playful",https://na-kd.com/globalassets/nakd_balloon_sleeve_drawstring_dotted_blouse_1100-002256-0024_01a.jpg?ref=B83A6D2BC1,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
